"","year","numbers"
"320","year1988","6"
"321","year1988","9"
"322","year1988","1"
"323","year1988","15"
"324","year1988","17"
"325","year1989","3"
"326","year1989","10"
"327","year1989","7"
"328","year1989","27"
"329","year1989","26"
"330","year1989","39"
"331","year1989","32"
"332","year1989","3"
"333","year1989","38"
"334","year1989","25"
"335","year1989","14"
"336","year1989","28"
"337","year1989","18"
"338","year1989","32"
"339","year1989","15"
"340","year1989","17"
"341","year1989","19"
"342","year1989","26"
"343","year1989","33"
"344","year1989","15"
"345","year1989","14"
"346","year1989","11"
"347","year1989","40"
"348","year1989","1"
"349","year1989","36"
"350","year1989","5"
"351","year1989","23"
"352","year1989","26"
"353","year1989","33"
"354","year1989","20"
"355","year1989","26"
"356","year1989","20"
"357","year1989","11"
"358","year1989","1"
"359","year1989","40"
"360","year1989","13"
"361","year1989","29"
"362","year1989","26"
"363","year1989","6"
"364","year1989","27"
"365","year1989","8"
"366","year1989","13"
"367","year1989","26"
"368","year1989","6"
"369","year1989","13"
"370","year1989","19"
"371","year1989","34"
"372","year1989","39"
"373","year1989","33"
"374","year1989","28"
"375","year1989","23"
"376","year1989","12"
"377","year1989","34"
"378","year1989","17"
"379","year1989","37"
"380","year1989","9"
"381","year1989","30"
"382","year1989","1"
"383","year1989","27"
"384","year1989","33"
"385","year1989","5"
"386","year1989","19"
"387","year1989","39"
"388","year1989","1"
"389","year1989","9"
"390","year1989","31"
"391","year1989","11"
"392","year1989","29"
"393","year1989","34"
"394","year1989","14"
"395","year1989","8"
"396","year1989","12"
"397","year1989","18"
"398","year1989","27"
"399","year1989","7"
"400","year1989","30"
"401","year1989","14"
"402","year1989","13"
"403","year1989","40"
"404","year1989","7"
"405","year1989","2"
"406","year1989","16"
"407","year1989","27"
"408","year1989","21"
"409","year1989","18"
"410","year1989","2"
"411","year1989","35"
"412","year1989","33"
"413","year1989","6"
"414","year1989","36"
"415","year1989","39"
"416","year1989","36"
"417","year1989","21"
"418","year1989","35"
"419","year1989","22"
"420","year1989","14"
"421","year1989","25"
"422","year1989","24"
"423","year1989","18"
"424","year1989","29"
"425","year1989","16"
"426","year1989","19"
"427","year1989","1"
"428","year1989","31"
"429","year1989","39"
"430","year1989","36"
"431","year1989","23"
"432","year1989","35"
"433","year1989","21"
"434","year1989","5"
"435","year1989","2"
"436","year1989","32"
"437","year1989","37"
"438","year1989","16"
"439","year1989","18"
"440","year1989","10"
"441","year1989","30"
"442","year1989","19"
"443","year1989","35"
"444","year1989","34"
"445","year1989","25"
"446","year1989","15"
"447","year1989","6"
"448","year1989","12"
"449","year1989","35"
"450","year1989","27"
"451","year1989","14"
"452","year1989","22"
"453","year1989","10"
"454","year1989","27"
"455","year1989","4"
"456","year1989","29"
"457","year1989","27"
"458","year1989","11"
"459","year1989","25"
"460","year1989","39"
"461","year1989","31"
"462","year1989","15"
"463","year1989","34"
"464","year1989","17"
"465","year1989","40"
"466","year1989","14"
"467","year1989","26"
"468","year1989","7"
"469","year1989","24"
"470","year1989","33"
"471","year1989","6"
"472","year1989","30"
"473","year1989","2"
"474","year1989","9"
"475","year1989","4"
"476","year1989","19"
"477","year1989","6"
"478","year1989","18"
"479","year1989","37"
"480","year1989","39"
"481","year1989","21"
"482","year1989","6"
"483","year1989","36"
"484","year1989","37"
"485","year1989","11"
"486","year1989","12"
"487","year1989","30"
"488","year1989","14"
"489","year1989","9"
"490","year1989","24"
"491","year1989","18"
"492","year1989","29"
"493","year1989","3"
"494","year1989","15"
"495","year1989","16"
"496","year1989","31"
"497","year1989","21"
"498","year1989","14"
"499","year1989","40"
"500","year1989","26"
"501","year1989","30"
"502","year1989","1"
"503","year1989","12"
"504","year1989","9"
"505","year1989","14"
"506","year1989","18"
"507","year1989","29"
"508","year1989","23"
"509","year1989","24"
"510","year1989","16"
"511","year1989","38"
"512","year1989","32"
"513","year1989","21"
"514","year1989","27"
"515","year1989","11"
"516","year1989","2"
"517","year1989","3"
"518","year1989","23"
"519","year1989","34"
"520","year1989","14"
"521","year1989","11"
"522","year1989","12"
"523","year1989","35"
"524","year1989","4"
"525","year1989","12"
"526","year1989","33"
"527","year1989","19"
"528","year1989","26"
"529","year1989","38"
"530","year1989","30"
"531","year1989","35"
"532","year1989","36"
"533","year1989","6"
"534","year1989","7"
"535","year1989","26"
"536","year1989","4"
"537","year1989","19"
"538","year1989","2"
"539","year1989","28"
"540","year1989","35"
"541","year1989","34"
"542","year1989","35"
"543","year1989","18"
"544","year1989","5"
"545","year1989","25"
"546","year1989","38"
"547","year1989","6"
"548","year1989","28"
"549","year1989","2"
"550","year1989","13"
"551","year1989","24"
"552","year1989","18"
"553","year1989","17"
"554","year1989","27"
"555","year1989","10"
"556","year1989","38"
"557","year1989","16"
"558","year1989","29"
"559","year1989","4"
"560","year1989","31"
"561","year1989","3"
"562","year1989","16"
"563","year1989","33"
"564","year1989","36"
"565","year1989","25"
"566","year1989","11"
"567","year1989","37"
"568","year1989","29"
"569","year1989","38"
"570","year1989","33"
"571","year1989","4"
"572","year1989","5"
"573","year1989","18"
"574","year1989","29"
"575","year1989","27"
"576","year1989","11"
"577","year1989","40"
"578","year1989","6"
"579","year1989","37"
"580","year1989","33"
"581","year1989","22"
"582","year1989","1"
"583","year1989","31"
"584","year1989","6"
"585","year1989","1"
"586","year1989","17"
"587","year1989","16"
"588","year1989","33"
"589","year1989","37"
"590","year1989","27"
"591","year1989","17"
"592","year1989","7"
"593","year1989","33"
"594","year1989","10"
"595","year1989","10"
"596","year1989","3"
"597","year1989","23"
"598","year1989","38"
"599","year1989","8"
"600","year1989","4"
"601","year1989","2"
"602","year1989","38"
"603","year1989","30"
"604","year1989","1"
"605","year1989","29"
"606","year1989","3"
"607","year1989","23"
"608","year1989","21"
"609","year1989","24"
"610","year1989","5"
"611","year1989","8"
"612","year1989","28"
"613","year1989","19"
"614","year1989","17"
"615","year1989","35"
"616","year1989","10"
"617","year1989","21"
"618","year1989","26"
"619","year1989","18"
"620","year1989","22"
"621","year1989","31"
"622","year1989","25"
"623","year1989","35"
"624","year1989","37"
"625","year1989","13"
"626","year1989","20"
"627","year1989","4"
"628","year1989","28"
"629","year1989","16"
"630","year1989","18"
"631","year1989","27"
"632","year1989","26"
"633","year1989","21"
"634","year1989","5"
"635","year1989","36"
"636","year1989","10"
"637","year1989","3"
"638","year1989","10"
"639","year1989","7"
"640","year1989","27"
"641","year1989","26"
"642","year1989","39"
"643","year1989","32"
"644","year1989","3"
"645","year1989","38"
"646","year1989","25"
"647","year1989","14"
"648","year1989","28"
"649","year1990","35"
"650","year1990","26"
"651","year1990","15"
"652","year1990","6"
"653","year1990","11"
"654","year1990","18"
"655","year1990","4"
"656","year1990","26"
"657","year1990","3"
"658","year1990","20"
"659","year1990","15"
"660","year1990","18"
"661","year1990","21"
"662","year1990","15"
"663","year1990","9"
"664","year1990","6"
"665","year1990","18"
"666","year1990","16"
"667","year1990","7"
"668","year1990","14"
"669","year1990","8"
"670","year1990","1"
"671","year1990","37"
"672","year1990","25"
"673","year1990","39"
"674","year1990","12"
"675","year1990","33"
"676","year1990","35"
"677","year1990","27"
"678","year1990","19"
"679","year1990","17"
"680","year1990","25"
"681","year1990","36"
"682","year1990","14"
"683","year1990","18"
"684","year1990","2"
"685","year1990","40"
"686","year1990","14"
"687","year1990","7"
"688","year1990","2"
"689","year1990","22"
"690","year1990","11"
"691","year1990","32"
"692","year1990","29"
"693","year1990","16"
"694","year1990","37"
"695","year1990","24"
"696","year1990","22"
"697","year1990","3"
"698","year1990","1"
"699","year1990","6"
"700","year1990","32"
"701","year1990","11"
"702","year1990","24"
"703","year1990","35"
"704","year1990","37"
"705","year1990","28"
"706","year1990","30"
"707","year1990","21"
"708","year1990","33"
"709","year1990","5"
"710","year1990","18"
"711","year1990","20"
"712","year1990","24"
"713","year1990","1"
"714","year1990","33"
"715","year1990","14"
"716","year1990","4"
"717","year1990","32"
"718","year1990","9"
"719","year1990","2"
"720","year1990","28"
"721","year1990","32"
"722","year1990","24"
"723","year1990","10"
"724","year1990","4"
"725","year1990","2"
"726","year1990","17"
"727","year1990","14"
"728","year1990","1"
"729","year1990","24"
"730","year1990","37"
"731","year1990","17"
"732","year1990","18"
"733","year1990","10"
"734","year1990","32"
"735","year1990","2"
"736","year1990","40"
"737","year1990","3"
"738","year1990","18"
"739","year1990","30"
"740","year1990","38"
"741","year1990","1"
