"","year","numbers"
"1360","year1992","6"
"1361","year1992","18"
"1362","year1992","34"
"1363","year1992","11"
"1364","year1992","12"
"1365","year1992","21"
"1366","year1992","17"
"1367","year1992","39"
"1368","year1992","33"
"1369","year1992","5"
"1370","year1992","22"
"1371","year1992","25"
"1372","year1992","7"
"1373","year1992","31"
"1374","year1992","38"
"1375","year1992","40"
"1376","year1992","38"
"1377","year1992","9"
"1378","year1992","30"
"1379","year1992","1"
"1380","year1992","10"
"1381","year1992","39"
"1382","year1992","37"
"1383","year1992","21"
"1384","year1992","3"
"1385","year1992","26"
"1386","year1992","12"
"1387","year1992","37"
"1388","year1992","24"
"1389","year1992","16"
"1390","year1992","27"
"1391","year1992","30"
"1392","year1992","21"
"1393","year1992","24"
"1394","year1992","26"
"1395","year1992","32"
"1396","year1992","16"
"1397","year1992","10"
"1398","year1992","22"
"1399","year1992","23"
"1400","year1992","35"
"1401","year1992","19"
"1402","year1992","14"
"1403","year1992","29"
"1404","year1992","3"
"1405","year1992","24"
"1406","year1992","32"
"1407","year1992","31"
"1408","year1992","14"
"1409","year1992","17"
"1410","year1992","10"
"1411","year1992","24"
"1412","year1992","4"
"1413","year1992","29"
"1414","year1992","14"
"1415","year1992","5"
"1416","year1992","17"
"1417","year1992","2"
"1418","year1992","32"
"1419","year1992","8"
"1420","year1992","31"
"1421","year1992","30"
"1422","year1992","5"
"1423","year1992","39"
"1424","year1992","19"
"1425","year1992","7"
"1426","year1992","28"
"1427","year1992","5"
"1428","year1992","18"
"1429","year1992","16"
"1430","year1992","28"
"1431","year1992","13"
"1432","year1992","6"
"1433","year1992","36"
"1434","year1992","12"
"1435","year1992","13"
"1436","year1992","15"
"1437","year1992","38"
"1438","year1992","2"
"1439","year1992","40"
"1440","year1992","8"
"1441","year1992","29"
"1442","year1992","39"
"1443","year1992","15"
"1444","year1992","30"
"1445","year1992","40"
"1446","year1992","23"
"1447","year1992","8"
"1448","year1992","13"
"1449","year1992","16"
"1450","year1992","9"
"1451","year1992","4"
"1452","year1992","32"
"1453","year1992","15"
"1454","year1992","5"
"1455","year1992","17"
"1456","year1992","26"
"1457","year1992","34"
"1458","year1992","4"
"1459","year1992","16"
"1460","year1992","38"
"1461","year1992","28"
"1462","year1992","34"
"1463","year1992","12"
"1464","year1992","20"
"1465","year1992","25"
"1466","year1992","13"
"1467","year1992","28"
"1468","year1992","4"
"1469","year1992","5"
"1470","year1992","18"
"1471","year1992","8"
"1472","year1992","7"
"1473","year1992","37"
"1474","year1992","34"
"1475","year1992","21"
"1476","year1992","11"
"1477","year1992","7"
"1478","year1992","21"
"1479","year1992","32"
"1480","year1992","4"
"1481","year1992","36"
"1482","year1992","6"
"1483","year1992","24"
"1484","year1992","2"
"1485","year1992","9"
"1486","year1992","3"
"1487","year1992","25"
"1488","year1992","22"
"1489","year1992","16"
"1490","year1992","37"
"1491","year1992","15"
"1492","year1992","21"
"1493","year1992","8"
"1494","year1992","35"
"1495","year1992","40"
"1496","year1992","10"
"1497","year1992","18"
"1498","year1992","1"
"1499","year1992","35"
"1500","year1992","20"
"1501","year1992","24"
"1502","year1992","5"
"1503","year1992","8"
"1504","year1992","40"
"1505","year1992","35"
"1506","year1992","38"
"1507","year1992","4"
"1508","year1992","28"
"1509","year1992","15"
"1510","year1992","3"
"1511","year1992","20"
"1512","year1992","37"
"1513","year1992","27"
"1514","year1992","38"
"1515","year1992","12"
"1516","year1992","35"
"1517","year1992","25"
"1518","year1992","17"
"1519","year1992","26"
"1520","year1992","10"
"1521","year1992","9"
"1522","year1992","13"
"1523","year1992","39"
"1524","year1992","22"
"1525","year1992","17"
"1526","year1992","3"
"1527","year1992","8"
"1528","year1992","26"
"1529","year1992","25"
"1530","year1992","38"
"1531","year1992","20"
"1532","year1992","7"
"1533","year1992","14"
"1534","year1992","19"
"1535","year1992","32"
"1536","year1992","11"
"1537","year1992","6"
"1538","year1992","25"
"1539","year1992","33"
"1540","year1992","27"
"1541","year1992","8"
"1542","year1992","1"
"1543","year1992","40"
"1544","year1992","38"
"1545","year1992","6"
"1546","year1992","34"
"1547","year1992","32"
"1548","year1992","36"
"1549","year1992","20"
"1550","year1992","35"
"1551","year1992","1"
"1552","year1992","33"
"1553","year1992","5"
"1554","year1992","27"
"1555","year1992","39"
"1556","year1992","8"
"1557","year1992","17"
"1558","year1992","36"
"1559","year1992","7"
"1560","year1992","28"
"1561","year1992","3"
"1562","year1992","22"
"1563","year1992","27"
"1564","year1992","38"
"1565","year1992","2"
"1566","year1992","40"
"1567","year1992","39"
"1568","year1992","1"
"1569","year1992","40"
"1570","year1992","9"
"1571","year1992","20"
"1572","year1992","37"
"1573","year1992","20"
"1574","year1992","5"
"1575","year1992","13"
"1576","year1992","22"
"1577","year1992","14"
"1578","year1992","36"
"1579","year1992","35"
"1580","year1992","20"
"1581","year1992","26"
"1582","year1992","28"
"1583","year1992","5"
"1584","year1992","15"
"1585","year1992","28"
"1586","year1992","25"
"1587","year1992","38"
"1588","year1992","17"
"1589","year1992","24"
"1590","year1992","12"
"1591","year1992","14"
"1592","year1992","17"
"1593","year1992","37"
"1594","year1992","6"
"1595","year1992","27"
"1596","year1992","38"
"1597","year1992","37"
"1598","year1992","23"
"1599","year1992","19"
"1600","year1992","8"
"1601","year1992","12"
"1602","year1992","15"
"1603","year1992","1"
"1604","year1992","20"
"1605","year1992","36"
"1606","year1992","13"
"1607","year1992","25"
"1608","year1992","31"
"1609","year1992","10"
"1610","year1992","29"
"1611","year1992","19"
"1612","year1992","24"
"1613","year1992","16"
"1614","year1992","33"
"1615","year1992","35"
"1616","year1992","17"
"1617","year1992","3"
"1618","year1992","34"
"1619","year1992","38"
"1620","year1992","29"
"1621","year1993","6"
"1622","year1993","14"
"1623","year1993","33"
"1624","year1993","34"
"1625","year1993","36"
"1626","year1993","38"
"1627","year1993","1"
"1628","year1993","7"
"1629","year1993","10"
"1630","year1993","20"
"1631","year1993","34"
"1632","year1993","40"
"1633","year1993","8"
"1634","year1993","14"
"1635","year1993","20"
"1636","year1993","29"
"1637","year1993","36"
"1638","year1993","39"
"1639","year1993","4"
"1640","year1993","10"
"1641","year1993","20"
"1642","year1993","21"
"1643","year1993","32"
"1644","year1993","34"
"1645","year1993","5"
"1646","year1993","8"
"1647","year1993","15"
"1648","year1993","22"
"1649","year1993","30"
"1650","year1993","34"
"1651","year1993","7"
"1652","year1993","12"
"1653","year1993","13"
"1654","year1993","14"
"1655","year1993","21"
"1656","year1993","24"
"1657","year1993","3"
"1658","year1993","4"
"1659","year1993","18"
"1660","year1993","20"
"1661","year1993","26"
"1662","year1993","31"
"1663","year1993","2"
"1664","year1993","6"
"1665","year1993","16"
"1666","year1993","20"
"1667","year1993","26"
"1668","year1993","33"
"1669","year1993","3"
"1670","year1993","21"
"1671","year1993","23"
"1672","year1993","24"
"1673","year1993","27"
"1674","year1993","28"
"1675","year1993","3"
"1676","year1993","7"
"1677","year1993","21"
"1678","year1993","31"
"1679","year1993","33"
"1680","year1993","35"
"1681","year1993","2"
"1682","year1993","7"
"1683","year1993","20"
"1684","year1993","26"
"1685","year1993","28"
"1686","year1993","30"
"1687","year1993","4"
"1688","year1993","7"
"1689","year1993","13"
"1690","year1993","31"
"1691","year1993","33"
"1692","year1993","34"
"1693","year1993","3"
"1694","year1993","8"
"1695","year1993","15"
"1696","year1993","19"
"1697","year1993","25"
"1698","year1993","30"
"1699","year1993","12"
"1700","year1993","16"
"1701","year1993","18"
"1702","year1993","21"
"1703","year1993","29"
"1704","year1993","40"
"1705","year1993","1"
"1706","year1993","4"
"1707","year1993","12"
"1708","year1993","21"
"1709","year1993","30"
"1710","year1993","32"
"1711","year1993","31"
"1712","year1993","32"
"1713","year1993","33"
"1714","year1993","35"
"1715","year1993","36"
"1716","year1993","38"
"1717","year1993","9"
"1718","year1993","11"
"1719","year1993","22"
"1720","year1993","34"
"1721","year1993","35"
"1722","year1993","40"
"1723","year1993","1"
"1724","year1993","9"
"1725","year1993","11"
"1726","year1993","23"
"1727","year1993","26"
"1728","year1993","34"
"1729","year1993","1"
"1730","year1993","7"
"1731","year1993","10"
"1732","year1993","15"
"1733","year1993","20"
"1734","year1993","35"
"1735","year1993","3"
"1736","year1993","4"
"1737","year1993","5"
"1738","year1993","19"
"1739","year1993","20"
"1740","year1993","23"
"1741","year1993","1"
"1742","year1993","12"
"1743","year1993","19"
"1744","year1993","24"
"1745","year1993","26"
"1746","year1993","32"
"1747","year1993","10"
"1748","year1993","15"
"1749","year1993","24"
"1750","year1993","33"
"1751","year1993","37"
"1752","year1993","40"
"1753","year1993","12"
"1754","year1993","13"
"1755","year1993","14"
"1756","year1993","16"
"1757","year1993","17"
"1758","year1993","23"
"1759","year1993","9"
"1760","year1993","18"
"1761","year1993","20"
"1762","year1993","25"
"1763","year1993","36"
"1764","year1993","39"
"1765","year1993","2"
"1766","year1993","13"
"1767","year1993","16"
"1768","year1993","21"
"1769","year1993","37"
"1770","year1993","39"
"1771","year1993","6"
"1772","year1993","13"
"1773","year1993","15"
"1774","year1993","18"
"1775","year1993","27"
"1776","year1993","29"
"1777","year1993","4"
"1778","year1993","5"
"1779","year1993","20"
"1780","year1993","26"
"1781","year1993","27"
"1782","year1993","31"
"1783","year1993","2"
"1784","year1993","15"
"1785","year1993","21"
"1786","year1993","28"
"1787","year1993","32"
"1788","year1993","36"
"1789","year1993","7"
"1790","year1993","12"
"1791","year1993","14"
"1792","year1993","16"
"1793","year1993","22"
"1794","year1993","34"
"1795","year1993","6"
"1796","year1993","31"
"1797","year1993","34"
"1798","year1993","35"
"1799","year1993","36"
"1800","year1993","37"
"1801","year1993","7"
"1802","year1993","11"
"1803","year1993","13"
"1804","year1993","14"
"1805","year1993","22"
"1806","year1993","36"
"1807","year1993","2"
"1808","year1993","10"
"1809","year1993","13"
"1810","year1993","14"
"1811","year1993","30"
"1812","year1993","31"
"1813","year1993","7"
"1814","year1993","8"
"1815","year1993","19"
"1816","year1993","36"
"1817","year1993","39"
"1818","year1993","40"
"1819","year1993","4"
"1820","year1993","11"
"1821","year1993","18"
"1822","year1993","35"
"1823","year1993","37"
"1824","year1993","39"
"1825","year1993","5"
"1826","year1993","8"
"1827","year1993","21"
"1828","year1993","23"
"1829","year1993","25"
"1830","year1993","31"
"1831","year1993","12"
"1832","year1993","18"
"1833","year1993","26"
"1834","year1993","27"
"1835","year1993","28"
"1836","year1993","37"
"1837","year1993","6"
"1838","year1993","8"
"1839","year1993","9"
"1840","year1993","21"
"1841","year1993","28"
"1842","year1993","34"
"1843","year1993","12"
"1844","year1993","24"
"1845","year1993","27"
"1846","year1993","28"
"1847","year1993","33"
"1848","year1993","36"
"1849","year1993","7"
"1850","year1993","36"
"1851","year1993","8"
"1852","year1993","1"
"1853","year1993","31"
"1854","year1993","4"
"1855","year1993","28"
"1856","year1993","6"
"1857","year1993","26"
"1858","year1993","15"
"1859","year1993","7"
"1860","year1993","33"
"1861","year1993","32"
"1862","year1993","26"
"1863","year1993","3"
"1864","year1993","39"
"1865","year1993","24"
"1866","year1993","28"
"1867","year1993","9"
"1868","year1993","5"
"1869","year1993","31"
"1870","year1993","27"
"1871","year1993","19"
"1872","year1993","25"
"1873","year1993","15"
"1874","year1993","31"
"1875","year1993","3"
"1876","year1993","5"
"1877","year1993","40"
"1878","year1993","17"
"1879","year1993","17"
"1880","year1993","32"
"1881","year1993","25"
"1882","year1993","30"
"1883","year1993","38"
"1884","year1993","20"
"1885","year1993","30"
"1886","year1993","4"
"1887","year1993","28"
"1888","year1993","9"
"1889","year1993","12"
"1890","year1993","36"
"1891","year1993","4"
"1892","year1993","6"
"1893","year1993","3"
"1894","year1993","10"
"1895","year1993","19"
"1896","year1993","38"
"1897","year1993","38"
"1898","year1993","19"
"1899","year1993","28"
"1900","year1993","1"
"1901","year1993","7"
"1902","year1993","23"
"1903","year1993","39"
"1904","year1993","35"
"1905","year1993","12"
"1906","year1993","13"
"1907","year1993","8"
"1908","year1993","6"
"1909","year1993","21"
"1910","year1993","1"
"1911","year1993","29"
"1912","year1993","15"
"1913","year1993","22"
"1914","year1993","12"
"1915","year1993","3"
"1916","year1993","2"
"1917","year1993","14"
"1918","year1993","7"
"1919","year1993","8"
"1920","year1993","26"
"1921","year1993","19"
"1922","year1993","5"
"1923","year1993","29"
"1924","year1993","31"
"1925","year1993","12"
"1926","year1993","28"
"1927","year1993","22"
"1928","year1993","38"
"1929","year1993","2"
"1930","year1993","21"
"1931","year1993","14"
"1932","year1993","24"
"1933","year1993","6"
"1934","year1993","14"
"1935","year1993","33"
"1936","year1993","34"
"1937","year1993","36"
"1938","year1993","38"
"1939","year1993","1"
"1940","year1993","7"
"1941","year1993","10"
"1942","year1993","20"
"1943","year1993","34"
"1944","year1993","40"
"1945","year1994","16"
"1946","year1994","19"
"1947","year1994","24"
"1948","year1994","27"
"1949","year1994","31"
"1950","year1994","39"
"1951","year1994","16"
"1952","year1994","17"
"1953","year1994","23"
"1954","year1994","30"
"1955","year1994","32"
"1956","year1994","38"
"1957","year1994","1"
"1958","year1994","8"
"1959","year1994","12"
"1960","year1994","22"
"1961","year1994","30"
"1962","year1994","39"
"1963","year1994","9"
"1964","year1994","17"
"1965","year1994","21"
"1966","year1994","27"
"1967","year1994","35"
"1968","year1994","36"
"1969","year1994","7"
"1970","year1994","8"
"1971","year1994","10"
"1972","year1994","16"
"1973","year1994","17"
"1974","year1994","40"
"1975","year1994","5"
"1976","year1994","12"
"1977","year1994","16"
"1978","year1994","19"
"1979","year1994","24"
"1980","year1994","27"
"1981","year1994","5"
"1982","year1994","21"
"1983","year1994","28"
"1984","year1994","34"
"1985","year1994","35"
"1986","year1994","36"
"1987","year1994","8"
"1988","year1994","10"
"1989","year1994","12"
"1990","year1994","21"
"1991","year1994","22"
"1992","year1994","26"
"1993","year1994","10"
"1994","year1994","11"
"1995","year1994","24"
"1996","year1994","27"
"1997","year1994","32"
"1998","year1994","40"
"1999","year1994","23"
"2000","year1994","25"
"2001","year1994","26"
"2002","year1994","27"
"2003","year1994","34"
"2004","year1994","35"
"2005","year1994","14"
"2006","year1994","17"
"2007","year1994","28"
"2008","year1994","32"
"2009","year1994","35"
"2010","year1994","39"
"2011","year1994","1"
"2012","year1994","14"
"2013","year1994","16"
"2014","year1994","25"
"2015","year1994","37"
"2016","year1994","39"
"2017","year1994","2"
"2018","year1994","14"
"2019","year1994","18"
"2020","year1994","24"
"2021","year1994","26"
"2022","year1994","38"
"2023","year1994","2"
"2024","year1994","6"
"2025","year1994","7"
"2026","year1994","16"
"2027","year1994","21"
"2028","year1994","40"
"2029","year1994","9"
"2030","year1994","20"
"2031","year1994","22"
"2032","year1994","25"
"2033","year1994","30"
"2034","year1994","39"
"2035","year1994","7"
"2036","year1994","9"
"2037","year1994","30"
"2038","year1994","31"
"2039","year1994","38"
"2040","year1994","40"
"2041","year1994","6"
"2042","year1994","7"
"2043","year1994","9"
"2044","year1994","22"
"2045","year1994","25"
"2046","year1994","36"
"2047","year1994","3"
"2048","year1994","10"
"2049","year1994","14"
"2050","year1994","21"
"2051","year1994","24"
"2052","year1994","32"
"2053","year1994","11"
"2054","year1994","14"
"2055","year1994","18"
"2056","year1994","22"
"2057","year1994","26"
"2058","year1994","38"
"2059","year1994","4"
"2060","year1994","10"
"2061","year1994","12"
"2062","year1994","23"
"2063","year1994","25"
"2064","year1994","35"
"2065","year1994","5"
"2066","year1994","7"
"2067","year1994","12"
"2068","year1994","28"
"2069","year1994","33"
"2070","year1994","34"
"2071","year1994","9"
"2072","year1994","10"
"2073","year1994","12"
"2074","year1994","14"
"2075","year1994","22"
"2076","year1994","23"
"2077","year1994","17"
"2078","year1994","18"
"2079","year1994","23"
"2080","year1994","30"
"2081","year1994","39"
"2082","year1994","40"
"2083","year1994","7"
"2084","year1994","21"
"2085","year1994","25"
"2086","year1994","26"
"2087","year1994","36"
"2088","year1994","39"
"2089","year1994","1"
"2090","year1994","7"
"2091","year1994","20"
"2092","year1994","28"
"2093","year1994","30"
"2094","year1994","38"
"2095","year1994","9"
"2096","year1994","15"
"2097","year1994","18"
"2098","year1994","19"
"2099","year1994","31"
"2100","year1994","39"
"2101","year1994","10"
"2102","year1994","11"
"2103","year1994","14"
"2104","year1994","23"
"2105","year1994","24"
"2106","year1994","31"
"2107","year1994","1"
"2108","year1994","9"
"2109","year1994","10"
"2110","year1994","23"
"2111","year1994","24"
"2112","year1994","30"
"2113","year1994","2"
"2114","year1994","24"
"2115","year1994","29"
"2116","year1994","31"
"2117","year1994","35"
"2118","year1994","37"
"2119","year1994","4"
"2120","year1994","9"
"2121","year1994","22"
"2122","year1994","32"
"2123","year1994","35"
"2124","year1994","38"
"2125","year1994","6"
"2126","year1994","19"
"2127","year1994","25"
"2128","year1994","29"
"2129","year1994","31"
"2130","year1994","33"
"2131","year1994","17"
"2132","year1994","21"
"2133","year1994","33"
"2134","year1994","35"
"2135","year1994","37"
"2136","year1994","39"
"2137","year1994","1"
"2138","year1994","8"
"2139","year1994","14"
"2140","year1994","33"
"2141","year1994","37"
"2142","year1994","38"
"2143","year1994","8"
"2144","year1994","19"
"2145","year1994","20"
"2146","year1994","24"
"2147","year1994","35"
"2148","year1994","39"
"2149","year1994","5"
"2150","year1994","6"
"2151","year1994","18"
"2152","year1994","22"
"2153","year1994","30"
"2154","year1994","34"
"2155","year1994","7"
"2156","year1994","28"
"2157","year1994","29"
"2158","year1994","30"
"2159","year1994","32"
"2160","year1994","37"
"2161","year1994","3"
"2162","year1994","7"
"2163","year1994","9"
"2164","year1994","17"
"2165","year1994","32"
"2166","year1994","33"
"2167","year1994","2"
"2168","year1994","7"
"2169","year1994","22"
"2170","year1994","25"
"2171","year1994","33"
"2172","year1994","34"
"2173","year1994","6"
"2174","year1994","13"
"2175","year1994","22"
"2176","year1994","25"
"2177","year1994","28"
"2178","year1994","33"
"2179","year1994","4"
"2180","year1994","8"
"2181","year1994","32"
"2182","year1994","34"
"2183","year1994","37"
"2184","year1994","38"
"2185","year1994","1"
"2186","year1994","7"
"2187","year1994","8"
"2188","year1994","20"
"2189","year1994","34"
"2190","year1994","40"
"2191","year1994","6"
"2192","year1994","10"
"2193","year1994","19"
"2194","year1994","25"
"2195","year1994","30"
"2196","year1994","38"
"2197","year1994","11"
"2198","year1994","13"
"2199","year1994","17"
"2200","year1994","18"
"2201","year1994","32"
"2202","year1994","36"
"2203","year1994","1"
"2204","year1994","4"
"2205","year1994","5"
"2206","year1994","21"
"2207","year1994","27"
"2208","year1994","37"
"2209","year1994","7"
"2210","year1994","9"
"2211","year1994","10"
"2212","year1994","28"
"2213","year1994","34"
"2214","year1994","40"
"2215","year1994","1"
"2216","year1994","4"
"2217","year1994","24"
"2218","year1994","30"
"2219","year1994","35"
"2220","year1994","36"
"2221","year1994","1"
"2222","year1994","7"
"2223","year1994","10"
"2224","year1994","12"
"2225","year1994","23"
"2226","year1994","39"
"2227","year1994","6"
"2228","year1994","11"
"2229","year1994","14"
"2230","year1994","17"
"2231","year1994","19"
"2232","year1994","40"
"2233","year1994","7"
"2234","year1994","11"
"2235","year1994","13"
"2236","year1994","17"
"2237","year1994","26"
"2238","year1994","28"
"2239","year1994","5"
"2240","year1994","15"
"2241","year1994","22"
"2242","year1994","33"
"2243","year1994","37"
"2244","year1994","40"
"2245","year1994","2"
"2246","year1994","4"
"2247","year1994","8"
"2248","year1994","14"
"2249","year1994","33"
"2250","year1994","38"
"2251","year1994","6"
"2252","year1994","13"
"2253","year1994","15"
"2254","year1994","20"
"2255","year1994","30"
"2256","year1994","38"
"2257","year1994","1"
"2258","year1994","21"
"2259","year1994","32"
"2260","year1994","34"
"2261","year1994","38"
"2262","year1994","40"
"2263","year1994","16"
"2264","year1994","19"
"2265","year1994","24"
"2266","year1994","27"
"2267","year1994","31"
"2268","year1994","39"
"2269","year1995","1"
"2270","year1995","8"
"2271","year1995","9"
"2272","year1995","19"
"2273","year1995","22"
"2274","year1995","30"
"2275","year1995","8"
"2276","year1995","12"
"2277","year1995","23"
"2278","year1995","25"
"2279","year1995","29"
"2280","year1995","30"
"2281","year1995","9"
"2282","year1995","15"
"2283","year1995","23"
"2284","year1995","28"
"2285","year1995","33"
"2286","year1995","34"
"2287","year1995","1"
"2288","year1995","5"
"2289","year1995","7"
"2290","year1995","18"
"2291","year1995","20"
"2292","year1995","40"
"2293","year1995","15"
"2294","year1995","20"
"2295","year1995","25"
"2296","year1995","29"
"2297","year1995","33"
"2298","year1995","38"
"2299","year1995","11"
"2300","year1995","19"
"2301","year1995","20"
"2302","year1995","24"
"2303","year1995","33"
"2304","year1995","35"
"2305","year1995","5"
"2306","year1995","15"
"2307","year1995","19"
"2308","year1995","27"
"2309","year1995","29"
"2310","year1995","33"
"2311","year1995","1"
"2312","year1995","7"
"2313","year1995","15"
"2314","year1995","20"
"2315","year1995","37"
"2316","year1995","38"
"2317","year1995","5"
"2318","year1995","26"
"2319","year1995","29"
"2320","year1995","35"
"2321","year1995","38"
"2322","year1995","39"
"2323","year1995","4"
"2324","year1995","7"
"2325","year1995","12"
"2326","year1995","14"
"2327","year1995","35"
"2328","year1995","38"
"2329","year1995","3"
"2330","year1995","12"
"2331","year1995","13"
"2332","year1995","19"
"2333","year1995","24"
"2334","year1995","28"
"2335","year1995","1"
"2336","year1995","4"
"2337","year1995","11"
"2338","year1995","15"
"2339","year1995","19"
"2340","year1995","24"
"2341","year1995","1"
"2342","year1995","4"
"2343","year1995","21"
"2344","year1995","22"
"2345","year1995","28"
"2346","year1995","30"
"2347","year1995","2"
"2348","year1995","5"
"2349","year1995","14"
"2350","year1995","29"
"2351","year1995","39"
"2352","year1995","40"
"2353","year1995","9"
"2354","year1995","12"
"2355","year1995","19"
"2356","year1995","21"
"2357","year1995","37"
"2358","year1995","40"
"2359","year1995","4"
"2360","year1995","13"
"2361","year1995","21"
"2362","year1995","24"
"2363","year1995","28"
"2364","year1995","38"
"2365","year1995","4"
"2366","year1995","9"
"2367","year1995","16"
"2368","year1995","24"
"2369","year1995","28"
"2370","year1995","33"
"2371","year1995","4"
"2372","year1995","13"
"2373","year1995","14"
"2374","year1995","16"
"2375","year1995","19"
"2376","year1995","22"
"2377","year1995","1"
"2378","year1995","3"
"2379","year1995","12"
"2380","year1995","16"
"2381","year1995","26"
"2382","year1995","40"
"2383","year1995","2"
"2384","year1995","7"
"2385","year1995","10"
"2386","year1995","30"
"2387","year1995","33"
"2388","year1995","39"
"2389","year1995","3"
"2390","year1995","20"
"2391","year1995","25"
"2392","year1995","36"
"2393","year1995","37"
"2394","year1995","38"
"2395","year1995","6"
"2396","year1995","8"
"2397","year1995","16"
"2398","year1995","20"
"2399","year1995","23"
"2400","year1995","25"
"2401","year1995","9"
"2402","year1995","19"
"2403","year1995","22"
"2404","year1995","28"
"2405","year1995","32"
"2406","year1995","34"
"2407","year1995","5"
"2408","year1995","14"
"2409","year1995","18"
"2410","year1995","20"
"2411","year1995","30"
"2412","year1995","31"
"2413","year1995","5"
"2414","year1995","6"
"2415","year1995","7"
"2416","year1995","8"
"2417","year1995","15"
"2418","year1995","22"
"2419","year1995","7"
"2420","year1995","10"
"2421","year1995","17"
"2422","year1995","22"
"2423","year1995","34"
"2424","year1995","38"
"2425","year1995","4"
"2426","year1995","14"
"2427","year1995","20"
"2428","year1995","24"
"2429","year1995","27"
"2430","year1995","31"
"2431","year1995","1"
"2432","year1995","3"
"2433","year1995","5"
"2434","year1995","26"
"2435","year1995","27"
"2436","year1995","35"
"2437","year1995","5"
"2438","year1995","17"
"2439","year1995","18"
"2440","year1995","19"
"2441","year1995","31"
"2442","year1995","36"
"2443","year1995","2"
"2444","year1995","6"
"2445","year1995","10"
"2446","year1995","21"
"2447","year1995","31"
"2448","year1995","35"
"2449","year1995","8"
"2450","year1995","21"
"2451","year1995","23"
"2452","year1995","28"
"2453","year1995","30"
"2454","year1995","32"
"2455","year1995","7"
"2456","year1995","9"
"2457","year1995","11"
"2458","year1995","17"
"2459","year1995","18"
"2460","year1995","28"
"2461","year1995","2"
"2462","year1995","3"
"2463","year1995","13"
"2464","year1995","22"
"2465","year1995","25"
"2466","year1995","35"
"2467","year1995","4"
"2468","year1995","18"
"2469","year1995","27"
"2470","year1995","28"
"2471","year1995","30"
"2472","year1995","39"
"2473","year1995","4"
"2474","year1995","24"
"2475","year1995","26"
"2476","year1995","30"
"2477","year1995","33"
"2478","year1995","37"
"2479","year1995","2"
"2480","year1995","3"
"2481","year1995","12"
"2482","year1995","15"
"2483","year1995","18"
"2484","year1995","26"
"2485","year1995","2"
"2486","year1995","3"
"2487","year1995","21"
"2488","year1995","23"
"2489","year1995","29"
"2490","year1995","33"
"2491","year1995","4"
"2492","year1995","5"
"2493","year1995","13"
"2494","year1995","15"
"2495","year1995","16"
"2496","year1995","21"
"2497","year1995","5"
"2498","year1995","6"
"2499","year1995","11"
"2500","year1995","17"
"2501","year1995","31"
"2502","year1995","34"
"2503","year1995","2"
"2504","year1995","3"
"2505","year1995","15"
"2506","year1995","16"
"2507","year1995","22"
"2508","year1995","39"
"2509","year1995","4"
"2510","year1995","14"
"2511","year1995","22"
"2512","year1995","32"
"2513","year1995","36"
"2514","year1995","39"
"2515","year1995","17"
"2516","year1995","20"
"2517","year1995","22"
"2518","year1995","31"
"2519","year1995","36"
"2520","year1995","38"
"2521","year1995","2"
"2522","year1995","4"
"2523","year1995","12"
"2524","year1995","17"
"2525","year1995","22"
"2526","year1995","25"
"2527","year1995","7"
"2528","year1995","8"
"2529","year1995","9"
"2530","year1995","13"
"2531","year1995","21"
"2532","year1995","32"
"2533","year1995","7"
"2534","year1995","11"
"2535","year1995","26"
"2536","year1995","29"
"2537","year1995","31"
"2538","year1995","37"
"2539","year1995","3"
"2540","year1995","4"
"2541","year1995","20"
"2542","year1995","25"
"2543","year1995","26"
"2544","year1995","37"
"2545","year1995","8"
"2546","year1995","15"
"2547","year1995","19"
"2548","year1995","24"
"2549","year1995","31"
"2550","year1995","40"
"2551","year1995","1"
"2552","year1995","21"
"2553","year1995","22"
"2554","year1995","28"
"2555","year1995","31"
"2556","year1995","40"
"2557","year1995","5"
"2558","year1995","8"
"2559","year1995","15"
"2560","year1995","23"
"2561","year1995","33"
"2562","year1995","37"
"2563","year1995","1"
"2564","year1995","21"
"2565","year1995","22"
"2566","year1995","24"
"2567","year1995","33"
"2568","year1995","40"
"2569","year1995","19"
"2570","year1995","21"
"2571","year1995","22"
"2572","year1995","34"
"2573","year1995","36"
"2574","year1995","39"
"2575","year1995","1"
"2576","year1995","7"
"2577","year1995","15"
"2578","year1995","21"
"2579","year1995","31"
"2580","year1995","37"
"2581","year1995","1"
"2582","year1995","8"
"2583","year1995","9"
"2584","year1995","19"
"2585","year1995","22"
"2586","year1995","30"
"2587","year1995","8"
"2588","year1995","12"
"2589","year1995","23"
"2590","year1995","25"
"2591","year1995","29"
"2592","year1995","30"
"2593","year1996","1"
"2594","year1996","2"
"2595","year1996","8"
"2596","year1996","10"
"2597","year1996","17"
"2598","year1996","33"
"2599","year1996","8"
"2600","year1996","13"
"2601","year1996","15"
"2602","year1996","23"
"2603","year1996","24"
"2604","year1996","32"
"2605","year1996","10"
"2606","year1996","12"
"2607","year1996","19"
"2608","year1996","22"
"2609","year1996","34"
"2610","year1996","35"
"2611","year1996","1"
"2612","year1996","6"
"2613","year1996","20"
"2614","year1996","26"
"2615","year1996","27"
"2616","year1996","30"
"2617","year1996","2"
"2618","year1996","10"
"2619","year1996","12"
"2620","year1996","16"
"2621","year1996","19"
"2622","year1996","23"
"2623","year1996","4"
"2624","year1996","5"
"2625","year1996","7"
"2626","year1996","12"
"2627","year1996","15"
"2628","year1996","39"
"2629","year1996","6"
"2630","year1996","13"
